Time,W,X,Y
8.613,2146,2031,425
8.637,2146,2031,425
8.637,2139,2027,445
8.658,2139,2027,445
8.658,2125,2033,423
8.679,2125,2033,423
8.679,2117,2011,461
8.701,2117,2011,461
8.701,2135,2025,435
8.723,2135,2025,435
8.723,2132,1975,442
8.743,2132,1975,442
8.743,2138,2041,444
8.743,2138,2041,444
8.743,2130,2033,417
8.764,2130,2033,417
8.764,2143,2005,475
8.785,2143,2005,475
8.785,2141,2017,424
8.806,2141,2017,424
8.806,2143,1991,468
8.826,2143,1991,468
8.826,2134,2047,481
8.847,2134,2047,481
8.847,2122,2048,412
8.867,2162,2020,414
8.867,2122,2048,412
8.889,2162,2020,414
8.889,2147,2040,434
8.908,2147,2040,434
8.908,2149,2020,462
8.928,2149,2020,462
8.928,2132,2030,429
8.928,2132,2030,429
8.928,2149,2047,425
8.95,2149,2047,425
8.95,2132,2029,395
8.969,2132,2029,395
8.969,2143,2038,423
8.991,2108,2044,371
8.991,2108,2044,371
9.012,2130,2031,434
9.012,2130,2031,434
9.032,2134,2023,442
9.032,2134,2023,442
9.053,2152,2019,442
9.053,2152,2019,442
9.074,2144,2030,423
9.074,2144,2030,423
9.074,2149,2017,470
9.074,2145,2043,442
9.096,2145,2043,442
9.096,2141,2034,442
9.118,2141,2034,442
9.118,2127,2027,434
9.138,2127,2027,434
9.138,2124,2039,422
9.159,2124,2039,422
9.159,2127,2026,409
9.18,2127,2026,409
9.18,2140,2038,440
9.201,2140,2038,440
9.201,2133,2045,466
9.221,2133,2045,466
9.221,2126,2011,443
9.245,2126,2011,443
9.245,2139,2034,435
9.245,2139,2034,435
9.245,2142,2040,429
9.263,2142,2040,429
9.263,2143,2039,432
9.285,2143,2039,432
9.285,2148,2046,438
9.305,2148,2046,438
9.305,2145,2034,405
9.325,2145,2034,405
9.325,2128,2028,452
9.346,2128,2028,452
9.346,2172,1988,466
9.366,2172,1988,466
9.366,2137,2012,437
9.388,2137,2012,437
9.388,2152,2022,450
9.408,2152,2022,450
9.408,2131,2003,457
9.408,2131,2003,457
9.408,2144,2017,425
9.429,2144,2017,425
9.429,2145,2028,425
9.45,2145,2028,425
9.45,2142,2023,438
9.47,2142,2023,438
9.47,2143,2025,450
9.491,2143,2025,450
9.491,2128,2024,429
9.512,2128,2024,429
9.512,2135,2021,437
9.532,2135,2021,437
9.532,2148,2038,494
9.552,2148,2038,494
9.552,2144,2023,428
9.573,2144,2023,428
9.573,2142,2038,443
9.573,2142,2038,443
9.574,2128,2020,436
9.593,2128,2020,436
9.593,2123,2035,424
9.616,2123,2035,424
9.616,2145,2038,399
9.635,2145,2038,399
9.635,2136,2008,430
9.656,2136,2008,430
9.656,2160,2018,437
9.677,2160,2018,437
9.678,2137,2027,438
9.697,2137,2027,438
9.697,2141,2044,434
9.719,2141,2044,434
9.719,2107,2026,479
9.74,2107,2026,479
9.74,2141,2015,422
9.74,2141,2015,422
9.74,2155,2025,413
9.781,2155,2025,413
9.781,2133,2018,426
9.781,2133,2018,426
9.781,2122,2013,413
9.801,2122,2013,413
9.801,2149,2012,431
9.822,2149,2012,431
9.822,2131,2024,420
9.843,2131,2024,420
9.843,2153,2036,442
9.865,2153,2036,442
9.865,2131,2026,445
9.885,2131,2026,445
9.885,2132,2019,425
9.907,2132,2019,425
9.908,2118,1999,414
9.908,2118,1999,414
9.908,2138,2014,427
9.926,2138,2014,427
9.926,2157,2028,459
9.949,2157,2028,459
9.949,2134,2028,431
9.972,2134,2028,431
9.972,2139,2029,428
9.991,2139,2029,428
9.991,2135,2040,414
10.012,2135,2040,414
10.012,2141,2019,435
10.034,2141,2019,435
10.034,2145,2034,445
